,month,resale_price_median,resale_price_min,resale_price_max,resale_price_quantile_25,resale_price_quantile_75,price_per_sqm_median,price_per_sqm_min,price_per_sqm_max,price_per_sqm_quantile_25,price_per_sqm_quantile_75
236,2009-09,333000.0,150000.0,796000.0,270000.0,395000.0,3446.7611336032387,2045.4545454545455,6987.951807228916,3110.8333333333335,3810.461323392358
237,2009-10,347000.0,150000.0,755000.0,289000.0,401000.0,3465.5172413793102,2254.335260115607,7317.073170731707,3135.08151008151,3846.153846153846
238,2009-11,345000.0,160000.0,818000.0,288000.0,406000.0,3510.6382978723404,2317.880794701987,7195.121951219512,3188.1188118811883,3923.076923076923
239,2009-12,350000.0,127000.0,750000.0,290000.0,413000.0,3582.089552238806,2207.7922077922076,8795.180722891566,3225.8064516129034,3984.7248134328356
240,2010-01,347000.0,140000.0,750000.0,283888.0,415000.0,3589.74358974359,2096.153846153846,7449.8536585365855,3240.1315789473683,4000.0
241,2010-02,348000.0,154000.0,800000.0,288000.0,411000.0,3623.6747398113025,2380.9523809523807,7255.555555555556,3276.889116202946,4016.495054870614
242,2010-03,350000.0,166000.0,800000.0,290000.0,410000.0,3649.626865671642,1777.027027027027,7411.764705882353,3272.7272727272725,4064.7422369611095
243,2010-04,351500.0,150000.0,780000.0,292000.0,420000.0,3704.4834307992205,1950.0,7090.909090909091,3311.868852459016,4132.598039215686
244,2010-05,360000.0,166000.0,780000.0,298000.0,425000.0,3780.8661926308987,2382.3529411764707,7926.829268292683,3407.6770945702983,4210.925039872408
245,2010-06,363000.0,165000.0,778000.0,301000.0,434000.0,3835.6164383561645,2349.3150684931506,8076.923076923077,3438.095238095238,4285.714285714285
246,2010-07,370500.0,165000.0,900000.0,310000.0,440000.0,3902.439024390244,2232.1428571428573,7611.111111111111,3519.7505197505197,4340.659340659341
247,2010-08,374500.0,187000.0,811888.0,313000.0,442750.0,3967.5666199158486,2288.135593220339,7865.168539325843,3560.0,4429.92766726944
248,2010-09,385000.0,180000.0,888000.0,320000.0,455000.0,4029.8507462686566,2169.6428571428573,8222.222222222223,3605.966267339218,4488.690476190476
249,2010-10,386000.0,192000.0,840000.0,323000.0,461000.0,4063.8297872340427,2425.7425742574255,7804.878048780488,3622.047244094488,4507.692307692308
250,2010-11,382444.0,162000.0,780000.0,320000.0,455000.0,4084.106643099131,2327.5862068965516,8355.555555555555,3677.382109868741,4556.089743589744
251,2010-12,385000.0,187000.0,880000.0,320000.0,464000.0,4142.225031605563,2500.0,8023.529411764706,3715.772156140057,4572.402597402597
252,2011-01,388000.0,202000.0,818000.0,318000.0,460000.0,4154.545454545455,2600.0,7722.222222222223,3739.1304347826085,4594.594594594595
253,2011-02,397000.0,210000.0,840000.0,332000.0,474500.0,4178.082191780822,2396.694214876033,8076.923076923077,3787.1432774345394,4652.615193026152
254,2011-03,395000.0,205000.0,850000.0,332000.0,463000.0,4178.217821782178,2592.5925925925926,8088.888888888889,3755.1488221187756,4632.35294117647
255,2011-04,398000.0,194000.0,842888.0,336000.0,466000.0,4230.7692307692305,2649.122807017544,8277.777777777777,3824.287199287199,4666.666666666667
256,2011-05,403000.0,190000.0,875000.0,340000.0,475000.0,4289.522342064714,2364.864864864865,8200.0,3841.367437284801,4741.06568627451
257,2011-06,408944.0,192000.0,868000.0,345250.0,487000.0,4348.913043478261,2561.9834710743803,8120.977777777778,3900.2747252747254,4809.885013044738
258,2011-07,415000.0,208000.0,870000.0,347750.0,490000.0,4418.046132971505,2698.4126984126983,8833.333333333334,3980.148514851485,4895.906496927129
259,2011-08,419500.0,223000.0,898000.0,355000.0,497000.0,4461.161387631976,2791.411042944785,7989.130434782609,4000.0,4927.272727272727
260,2011-09,420000.0,195000.0,845000.0,350000.0,500000.0,4535.183875530411,2873.5632183908046,8846.153846153846,4071.5894465894467,4983.735795454546
261,2011-10,432000.0,230000.0,838800.0,365000.0,503000.5,4565.217391304348,2857.1428571428573,8923.404255319148,4057.015167930661,5044.117647058823
262,2011-11,425000.0,200000.0,899000.0,365000.0,505000.0,4514.925373134329,2272.7272727272725,8719.512195121952,4083.3333333333335,5034.965034965035
263,2011-12,433250.0,190000.0,903000.0,369000.0,515000.0,4567.307692307692,2351.3513513513512,8674.698795180722,4130.553777208706,5050.0
264,2012-01,432888.0,226000.0,870000.0,364500.0,510000.0,4594.594594594595,3125.0,8924.050632911392,4146.341463414634,5014.815627743636
265,2012-02,430000.0,237000.0,894000.0,362000.0,505000.0,4571.428571428572,2925.373134328358,8705.882352941177,4133.333333333333,5035.714285714285
266,2012-03,435000.0,249000.0,910000.0,368000.0,510000.0,4624.7531270572745,3134.3283582089553,8883.333333333334,4142.857142857143,5117.780748663102
