,month,storey_range,flat_type,resale_price_median,resale_price_min,resale_price_max,resale_price_quantile_25,resale_price_quantile_75,price_per_sqm_median,price_per_sqm_min,price_per_sqm_max,price_per_sqm_quantile_25,price_per_sqm_quantile_75
3510,2001-11,very low,5 ROOM,305800.0,243000.0,488000.0,278000.0,333000.0,2451.492537313433,1929.1338582677165,3873.0158730158732,2296.6101694915255,2653.2258064516127
3511,2001-11,very low,EXECUTIVE,420000.0,310000.0,560000.0,369000.0,456500.0,2739.72602739726,2137.9310344827586,3809.5238095238096,2513.698630136986,3192.8423543330377
3512,2001-12,high,1 ROOM,53500.0,53500.0,53500.0,53500.0,53500.0,1725.8064516129032,1725.8064516129032,1725.8064516129032,1725.8064516129032,1725.8064516129032
3513,2001-12,high,2 ROOM,80000.0,80000.0,80000.0,80000.0,80000.0,1777.7777777777778,1777.7777777777778,1777.7777777777778,1777.7777777777778,1777.7777777777778
3514,2001-12,high,3 ROOM,146000.0,78000.0,235000.0,134250.0,163000.0,2123.1822971549,1232.857142857143,3468.75,1967.378048780488,2327.0378874856488
3515,2001-12,high,4 ROOM,229000.0,130000.0,430000.0,208500.0,258800.0,2355.769230769231,1352.9411764705883,4134.615384615385,2135.0,2580.0
3516,2001-12,high,5 ROOM,338800.0,230000.0,530000.0,305500.0,367000.0,2718.75,1900.8264462809918,4327.731092436975,2450.4132231404956,3029.028925619835
3517,2001-12,high,EXECUTIVE,454000.0,340000.0,663000.0,414000.0,485000.0,3141.891891891892,2266.6666666666665,4510.2040816326535,2751.77304964539,3390.4109589041095
3518,2001-12,low,1 ROOM,45000.0,45000.0,45000.0,45000.0,45000.0,1551.7241379310344,1551.7241379310344,1551.7241379310344,1551.7241379310344,1551.7241379310344
3519,2001-12,low,2 ROOM,75000.0,65000.0,88000.0,68000.0,78000.0,1666.6666666666667,1511.111111111111,1955.5555555555557,1625.0,1911.764705882353
