,town,month,resale_price_median,resale_price_min,resale_price_max,resale_price_quantile_25,resale_price_quantile_75,price_per_sqm_median,price_per_sqm_min,price_per_sqm_max,price_per_sqm_quantile_25,price_per_sqm_quantile_75
7813,SEMBAWANG,2023-08,550944.0,305000.0,735000.0,475000.0,595000.0,6025.458570524985,4163.636363636364,8421.052631578947,5435.353535353535,6451.612903225807
7814,SEMBAWANG,2023-09,536500.0,325000.0,750000.0,480000.0,588500.0,5698.924731182796,4570.247933884298,8631.578947368422,5088.4009009009005,6327.956989247312
7815,SEMBAWANG,2023-10,545000.0,320000.0,810000.0,500000.0,595000.0,5983.870967741936,4533.8983050847455,7340.425531914893,5287.626262626262,6402.864708714492
7816,SEMBAWANG,2023-11,570000.0,424000.0,695000.0,507500.0,608250.0,6139.7373679703105,5181.818181818182,6612.903225806452,5591.397849462366,6300.759013282733
7817,SENGKANG,1990-01,55000.0,52000.0,58000.0,53500.0,56500.0,597.8260869565217,565.2173913043479,630.4347826086956,581.5217391304348,614.1304347826087
7818,SENGKANG,1990-02,53000.0,53000.0,53000.0,53000.0,53000.0,576.0869565217391,576.0869565217391,576.0869565217391,576.0869565217391,576.0869565217391
7819,SENGKANG,1990-04,30000.0,27300.0,42000.0,29325.0,33000.0,447.76119402985074,407.46268656716416,617.6470588235294,437.6865671641791,490.2326602282704
7820,SENGKANG,1990-05,30000.0,30000.0,30000.0,30000.0,30000.0,441.1764705882353,441.1764705882353,441.1764705882353,441.1764705882353,441.1764705882353
7821,SENGKANG,1990-06,47000.0,30000.0,72000.0,36750.0,59250.0,585.6777493606138,441.1764705882353,782.6086956521739,540.4411764705882,644.0217391304348
7822,SENGKANG,1990-08,30000.0,30000.0,30000.0,30000.0,30000.0,441.1764705882353,441.1764705882353,441.1764705882353,441.1764705882353,441.1764705882353
7823,SENGKANG,1990-09,42000.0,42000.0,42000.0,42000.0,42000.0,617.6470588235294,617.6470588235294,617.6470588235294,617.6470588235294,617.6470588235294
7824,SENGKANG,1990-11,33000.0,31000.0,39000.0,32000.0,36000.0,455.88235294117646,402.4390243902439,573.5294117647059,429.16068866571015,514.7058823529412
7825,SENGKANG,1990-12,42000.0,42000.0,42000.0,42000.0,42000.0,617.6470588235294,617.6470588235294,617.6470588235294,617.6470588235294,617.6470588235294
7826,SENGKANG,1991-01,30000.0,30000.0,30000.0,30000.0,30000.0,441.1764705882353,441.1764705882353,441.1764705882353,441.1764705882353,441.1764705882353
7827,SENGKANG,1991-03,38400.0,38400.0,38400.0,38400.0,38400.0,573.1343283582089,573.1343283582089,573.1343283582089,573.1343283582089,573.1343283582089
7828,SENGKANG,1991-04,42000.0,42000.0,42000.0,42000.0,42000.0,617.6470588235294,617.6470588235294,617.6470588235294,617.6470588235294,617.6470588235294
7829,SENGKANG,1991-05,40500.0,39000.0,42000.0,39750.0,41250.0,595.5882352941176,573.5294117647059,617.6470588235294,584.5588235294117,606.6176470588235
7830,SENGKANG,1991-09,38000.0,38000.0,38000.0,38000.0,38000.0,567.1641791044776,567.1641791044776,567.1641791044776,567.1641791044776,567.1641791044776
7831,SENGKANG,1991-10,38400.0,36000.0,42000.0,37200.0,40200.0,573.1343283582089,529.4117647058823,617.6470588235294,551.2730465320456,595.3906935908692
7832,SENGKANG,1991-11,40000.0,37000.0,80500.0,38500.0,60250.0,588.2352941176471,552.2388059701492,875.0,570.2370500438981,731.6176470588235
7833,SENGKANG,1992-01,35000.0,35000.0,35000.0,35000.0,35000.0,514.7058823529412,514.7058823529412,514.7058823529412,514.7058823529412,514.7058823529412
7834,SENGKANG,1992-04,50000.0,44500.0,76000.0,47250.0,63000.0,735.2941176470588,664.179104477612,826.0869565217391,699.7366110623354,780.690537084399
7835,SENGKANG,1992-05,42000.0,42000.0,42000.0,42000.0,42000.0,617.6470588235294,617.6470588235294,617.6470588235294,617.6470588235294,617.6470588235294
7836,SENGKANG,1992-06,42000.0,42000.0,42000.0,42000.0,42000.0,617.6470588235294,617.6470588235294,617.6470588235294,617.6470588235294,617.6470588235294
7837,SENGKANG,1992-08,38200.0,38200.0,38200.0,38200.0,38200.0,570.1492537313433,570.1492537313433,570.1492537313433,570.1492537313433,570.1492537313433
7838,SENGKANG,1992-10,60000.0,60000.0,60000.0,60000.0,60000.0,652.1739130434783,652.1739130434783,652.1739130434783,652.1739130434783,652.1739130434783
7839,SENGKANG,1992-12,60000.0,60000.0,60000.0,60000.0,60000.0,652.1739130434783,652.1739130434783,652.1739130434783,652.1739130434783,652.1739130434783
7840,SENGKANG,1993-02,38000.0,38000.0,38000.0,38000.0,38000.0,558.8235294117648,558.8235294117648,558.8235294117648,558.8235294117648,558.8235294117648
7841,SENGKANG,1993-04,41500.0,40000.0,43000.0,40750.0,42250.0,614.6839332748025,597.0149253731344,632.3529411764706,605.8494293239685,623.5184372256365
7842,SENGKANG,1993-07,40000.0,40000.0,40000.0,40000.0,40000.0,597.0149253731344,597.0149253731344,597.0149253731344,597.0149253731344,597.0149253731344
7843,SENGKANG,1993-08,68000.0,68000.0,68000.0,68000.0,68000.0,1000.0,1000.0,1000.0,1000.0,1000.0
7844,SENGKANG,1993-11,80000.0,58000.0,105000.0,69000.0,92500.0,1141.304347826087,852.9411764705883,1176.4705882352941,997.1227621483376,1158.8874680306906
7845,SENGKANG,1994-01,51000.0,51000.0,51000.0,51000.0,51000.0,750.0,750.0,750.0,750.0,750.0
7846,SENGKANG,1994-03,70000.0,70000.0,70000.0,70000.0,70000.0,1029.4117647058824,1029.4117647058824,1029.4117647058824,1029.4117647058824,1029.4117647058824
7847,SENGKANG,1994-04,57000.0,39000.0,75000.0,48000.0,66000.0,838.2352941176471,573.5294117647059,1102.9411764705883,705.8823529411765,970.5882352941177
7848,SENGKANG,1994-06,125000.0,125000.0,125000.0,125000.0,125000.0,1358.695652173913,1358.695652173913,1358.695652173913,1358.695652173913,1358.695652173913
7849,SENGKANG,1994-07,72000.0,72000.0,72000.0,72000.0,72000.0,1074.6268656716418,1074.6268656716418,1074.6268656716418,1074.6268656716418,1074.6268656716418
7850,SENGKANG,1994-08,79000.0,79000.0,79000.0,79000.0,79000.0,1161.764705882353,1161.764705882353,1161.764705882353,1161.764705882353,1161.764705882353
7851,SENGKANG,1995-04,88000.0,88000.0,88000.0,88000.0,88000.0,1294.1176470588234,1294.1176470588234,1294.1176470588234,1294.1176470588234,1294.1176470588234
7852,SENGKANG,1995-06,87000.0,87000.0,87000.0,87000.0,87000.0,1279.4117647058824,1279.4117647058824,1279.4117647058824,1279.4117647058824,1279.4117647058824
7853,SENGKANG,1995-07,82000.0,82000.0,82000.0,82000.0,82000.0,1205.8823529411766,1205.8823529411766,1205.8823529411766,1205.8823529411766,1205.8823529411766
7854,SENGKANG,1995-08,170000.0,170000.0,170000.0,170000.0,170000.0,1847.8260869565217,1847.8260869565217,1847.8260869565217,1847.8260869565217,1847.8260869565217
7855,SENGKANG,1995-09,70000.0,70000.0,70000.0,70000.0,70000.0,1044.7761194029852,1044.7761194029852,1044.7761194029852,1044.7761194029852,1044.7761194029852
7856,SENGKANG,1995-10,130000.0,94000.0,165000.0,94750.0,165000.0,1598.2316677482154,1397.0588235294117,1793.4782608695652,1401.5035118525022,1793.4782608695652
7857,SENGKANG,1995-12,155000.0,155000.0,155000.0,155000.0,155000.0,1684.7826086956522,1684.7826086956522,1684.7826086956522,1684.7826086956522,1684.7826086956522
7858,SENGKANG,1996-01,135000.0,100000.0,170000.0,117500.0,152500.0,1670.1817001946788,1492.5373134328358,1847.8260869565217,1581.3595068137574,1759.0038935756002
7859,SENGKANG,1996-02,180000.0,180000.0,180000.0,180000.0,180000.0,1956.5217391304348,1956.5217391304348,1956.5217391304348,1956.5217391304348,1956.5217391304348
7860,SENGKANG,1996-03,115000.0,115000.0,115000.0,115000.0,115000.0,1691.1764705882354,1691.1764705882354,1691.1764705882354,1691.1764705882354,1691.1764705882354
7861,SENGKANG,1996-05,178000.0,178000.0,178000.0,178000.0,178000.0,1934.7826086956522,1934.7826086956522,1934.7826086956522,1934.7826086956522,1934.7826086956522
7862,SENGKANG,1996-06,208000.0,208000.0,208000.0,208000.0,208000.0,2260.8695652173915,2260.8695652173915,2260.8695652173915,2260.8695652173915,2260.8695652173915
7863,SENGKANG,1996-08,162000.0,115000.0,235000.0,137500.0,193000.0,2161.320254506893,1716.4179104477612,2632.3529411764707,1755.3239898070622,2573.849104859335
7864,SENGKANG,1996-09,186000.0,147000.0,225000.0,166500.0,205500.0,2303.7084398976986,2161.764705882353,2445.6521739130435,2232.736572890026,2374.680306905371
7865,SENGKANG,1996-11,230000.0,230000.0,230000.0,230000.0,230000.0,2500.0,2500.0,2500.0,2500.0,2500.0
7866,SENGKANG,1997-02,162500.0,150000.0,170000.0,157500.0,166250.0,2389.7058823529414,2205.8823529411766,2500.0,2316.176470588235,2444.8529411764707
7867,SENGKANG,1997-04,192500.0,165000.0,220000.0,178750.0,206250.0,2408.887468030691,2391.304347826087,2426.470588235294,2400.095907928389,2417.6790281329922
7868,SENGKANG,1997-05,132000.0,132000.0,132000.0,132000.0,132000.0,1970.1492537313434,1970.1492537313434,1970.1492537313434,1970.1492537313434,1970.1492537313434
7869,SENGKANG,1997-06,238000.0,238000.0,238000.0,238000.0,238000.0,2586.9565217391305,2586.9565217391305,2586.9565217391305,2586.9565217391305,2586.9565217391305
7870,SENGKANG,1997-07,155000.0,155000.0,155000.0,155000.0,155000.0,2279.4117647058824,2279.4117647058824,2279.4117647058824,2279.4117647058824,2279.4117647058824
7871,SENGKANG,1998-02,155000.0,155000.0,155000.0,155000.0,155000.0,2279.4117647058824,2279.4117647058824,2279.4117647058824,2279.4117647058824,2279.4117647058824
7872,SENGKANG,1998-03,193000.0,130000.0,222000.0,161500.0,207500.0,2097.8260869565215,1940.2985074626865,2413.0434782608695,2019.062297209604,2255.4347826086955
7873,SENGKANG,1998-04,120000.0,118000.0,138000.0,119000.0,129000.0,1791.044776119403,1735.2941176470588,2029.4117647058824,1763.1694468832309,1910.2282704126428
7874,SENGKANG,1998-07,125000.0,111000.0,125000.0,118000.0,125000.0,1838.235294117647,1656.7164179104477,1838.235294117647,1747.4758560140474,1838.235294117647
7875,SENGKANG,1998-08,123000.0,120000.0,126000.0,121500.0,124500.0,1658.177905308465,1463.4146341463415,1852.9411764705883,1560.7962697274033,1755.5595408895265
7876,SENGKANG,1998-10,105000.0,105000.0,105000.0,105000.0,105000.0,1544.1176470588234,1544.1176470588234,1544.1176470588234,1544.1176470588234,1544.1176470588234
7877,SENGKANG,1998-11,103000.0,103000.0,103000.0,103000.0,103000.0,1514.7058823529412,1514.7058823529412,1514.7058823529412,1514.7058823529412,1514.7058823529412
7878,SENGKANG,1998-12,106800.0,106800.0,106800.0,106800.0,106800.0,1570.5882352941176,1570.5882352941176,1570.5882352941176,1570.5882352941176,1570.5882352941176
7879,SENGKANG,1999-01,108500.0,105000.0,112000.0,106750.0,110250.0,1595.5882352941176,1544.1176470588234,1647.0588235294117,1569.8529411764705,1621.3235294117646
7880,SENGKANG,1999-02,167000.0,167000.0,167000.0,167000.0,167000.0,1815.2173913043478,1815.2173913043478,1815.2173913043478,1815.2173913043478,1815.2173913043478
7881,SENGKANG,1999-03,125000.0,125000.0,125000.0,125000.0,125000.0,1838.235294117647,1838.235294117647,1838.235294117647,1838.235294117647,1838.235294117647
7882,SENGKANG,1999-04,104000.0,102000.0,180000.0,103000.0,142000.0,1529.4117647058824,1522.3880597014925,1956.5217391304348,1525.8999122036876,1742.9667519181585
7883,SENGKANG,1999-06,155000.0,155000.0,155000.0,155000.0,155000.0,1684.7826086956522,1684.7826086956522,1684.7826086956522,1684.7826086956522,1684.7826086956522
7884,SENGKANG,1999-07,175000.0,175000.0,175000.0,175000.0,175000.0,1902.1739130434783,1902.1739130434783,1902.1739130434783,1902.1739130434783,1902.1739130434783
7885,SENGKANG,1999-08,128500.0,112000.0,166000.0,121000.0,144250.0,1737.9948085658662,1463.4146341463415,2176.470588235294,1552.0567892246086,1917.9987212276214
7886,SENGKANG,1999-09,120000.0,120000.0,120000.0,120000.0,120000.0,1764.7058823529412,1764.7058823529412,1764.7058823529412,1764.7058823529412,1764.7058823529412
7887,SENGKANG,1999-10,165000.0,135000.0,175000.0,150000.0,170000.0,1902.1739130434783,1793.4782608695652,1985.2941176470588,1847.8260869565217,1943.7340153452685
7888,SENGKANG,1999-11,125000.0,125000.0,125000.0,125000.0,125000.0,1838.235294117647,1838.235294117647,1838.235294117647,1838.235294117647,1838.235294117647
7889,SENGKANG,1999-12,120000.0,103000.0,125000.0,111500.0,122500.0,1537.313432835821,1524.3902439024391,1791.044776119403,1530.85183836913,1664.1791044776119
7890,SENGKANG,2000-01,175000.0,175000.0,175000.0,175000.0,175000.0,1902.1739130434783,1902.1739130434783,1902.1739130434783,1902.1739130434783,1902.1739130434783
7891,SENGKANG,2000-07,176000.0,176000.0,176000.0,176000.0,176000.0,1913.0434782608695,1913.0434782608695,1913.0434782608695,1913.0434782608695,1913.0434782608695
7892,SENGKANG,2000-08,134500.0,120000.0,149000.0,127250.0,141750.0,1705.3049967553536,1619.5652173913043,1791.044776119403,1662.435107073329,1748.1748864373783
7893,SENGKANG,2000-10,139004.0,118000.0,160008.0,128502.0,149506.0,1750.205710577547,1739.2173913043478,1761.1940298507463,1744.7115509409473,1755.6998702141468
7894,SENGKANG,2000-11,160000.0,160000.0,160000.0,160000.0,160000.0,1739.1304347826087,1739.1304347826087,1739.1304347826087,1739.1304347826087,1739.1304347826087
7895,SENGKANG,2000-12,185000.0,185000.0,185000.0,185000.0,185000.0,2010.8695652173913,2010.8695652173913,2010.8695652173913,2010.8695652173913,2010.8695652173913
7896,SENGKANG,2002-10,219000.0,212800.0,241000.0,216000.0,237000.0,2347.8260869565215,2257.7319587628867,2484.536082474227,2313.0434782608695,2370.0
7897,SENGKANG,2002-11,223500.0,210200.0,420000.0,218350.0,236225.0,2422.9468599033817,2230.0,2978.723404255319,2375.5555555555557,2453.186881188119
7898,SENGKANG,2002-12,231950.0,201000.0,413000.0,209125.0,245375.0,2415.1521739130435,2233.3333333333335,2950.0,2323.6111111111113,2453.75
7899,SENGKANG,2003-01,242500.0,207000.0,422000.0,225750.0,261000.0,2466.6666666666665,2277.227722772277,2964.285714285714,2341.666666666667,2539.423076923077
7900,SENGKANG,2003-02,312000.0,218000.0,436000.0,246250.0,356750.0,2620.0819672131147,2137.2549019607845,3092.198581560284,2470.0,2867.951400999884
7901,SENGKANG,2003-03,243800.0,207000.0,429000.0,232000.0,278250.0,2450.9803921568628,2250.0,3042.553191489362,2374.3447874199182,2570.460704607046
7902,SENGKANG,2003-04,246150.0,200000.0,416000.0,236916.0,254250.0,2437.826086956522,2222.222222222222,2973.913043478261,2358.013007183071,2536.262376237624
7903,SENGKANG,2003-05,258800.0,217000.0,422500.0,239250.0,327166.0,2502.6367213114754,2178.2178217821784,2975.3521126760565,2370.923913043478,2687.1951219512193
7904,SENGKANG,2003-06,257500.0,201000.0,436000.0,242000.0,320222.0,2533.292682926829,2233.3333333333335,3098.5714285714284,2440.674773999139,2655.1140413399858
7905,SENGKANG,2003-07,265000.0,220000.0,422000.0,243875.0,329000.0,2556.688021743351,2260.0,2921.9858156028367,2421.4356435643563,2713.771377137714
7906,SENGKANG,2003-08,254000.0,205000.0,400000.0,240000.0,306000.0,2495.0495049504952,2050.0,3189.655172413793,2380.0,2634.782608695652
